Tensor_id,ActiveTime,InactiveTime
917,478,451
918,4,925
920,2,927
921,1,928
922,1,928
923,479,450
924,479,450
925,1,928
926,1,928
927,1,928
928,1,928
931,2,927
932,2,927
934,3,926
935,3,926
936,469,460
937,4,925
939,2,927
940,1,928
941,1,928
942,470,459
943,470,459
944,1,928
945,1,928
946,1,928
947,1,928
950,2,927
951,2,927
953,3,926
954,3,926
955,460,469
956,4,925
958,2,927
959,1,928
960,1,928
961,461,468
962,461,468
963,1,928
964,1,928
965,1,928
966,1,928
969,2,927
970,454,475
971,56,873
972,2,927
974,3,926
975,3,926
976,449,480
977,4,925
979,2,927
980,1,928
981,1,928
982,450,479
983,450,479
984,1,928
985,1,928
986,1,928
987,1,928
990,2,927
991,57,872
992,39,890
993,9,920
994,2,927
995,442,487
996,2,927
998,3,926
999,4,925
1000,437,492
1001,4,925
1003,2,927
1004,1,928
1005,1,928
1006,438,491
1007,438,491
1008,1,928
1009,1,928
1010,1,928
1011,1,928
1014,2,927
1015,2,927
1017,3,926
1018,9,920
1019,428,501
1020,4,925
1022,2,927
1023,1,928
1024,1,928
1025,429,500
1026,429,500
1027,1,928
1028,1,928
1029,1,928
1030,1,928
1033,2,927
1034,2,927
1036,3,926
1037,3,926
1038,419,510
1039,4,925
1041,2,927
1042,1,928
1043,1,928
1044,420,509
1045,420,509
1046,1,928
1047,1,928
1048,1,928
1049,1,928
1052,2,927
1053,2,927
1055,3,926
1056,3,926
1057,410,519
1058,4,925
1060,2,927
1061,1,928
1062,1,928
1063,411,518
1064,411,518
1065,1,928
1066,1,928
1067,1,928
1068,1,928
1071,2,927
1072,2,927
1074,3,926
1075,27,902
1076,401,528
1077,4,925
1079,2,927
1080,1,928
1081,1,928
1082,402,527
1083,402,527
1084,1,928
1085,1,928
1086,1,928
1087,1,928
1090,2,927
1091,2,927
1093,3,926
1094,3,926
1095,392,537
1096,4,925
1098,2,927
1099,1,928
1100,1,928
1101,393,536
1102,393,536
1103,1,928
1104,1,928
1105,1,928
1106,1,928
1109,2,927
1110,2,927
1112,3,926
1113,3,926
1114,383,546
1115,4,925
1117,2,927
1118,1,928
1119,1,928
1120,384,545
1121,384,545
1122,1,928
1123,1,928
1124,1,928
1125,1,928
1128,2,927
1129,2,927
1131,3,926
1132,3,926
1133,374,555
1134,4,925
1136,2,927
1137,1,928
1138,1,928
1139,375,554
1140,375,554
1141,1,928
1142,1,928
1143,1,928
1144,1,928
1147,2,927
1148,2,927
1150,3,926
1151,3,926
1152,365,564
1153,4,925
1155,2,927
1156,1,928
1157,1,928
1158,366,563
1159,366,563
1160,1,928
1161,1,928
1162,1,928
1163,1,928
1166,2,927
1167,359,570
1168,56,873
1169,2,927
1171,3,926
1172,3,926
1173,354,575
1174,4,925
1176,2,927
1177,1,928
1178,1,928
1179,355,574
1180,355,574
1181,1,928
1182,1,928
1183,1,928
1184,1,928
1187,2,927
1188,57,872
1189,39,890
1190,9,920
1191,2,927
1192,347,582
1193,2,927
1195,3,926
1196,4,925
1197,342,587
1198,4,925
1200,2,927
1201,1,928
1202,1,928
1203,343,586
1204,343,586
1205,1,928
1206,1,928
1207,1,928
1208,1,928
1211,2,927
1212,2,927
1214,3,926
1215,9,920
1216,333,596
1217,4,925
1219,2,927
1220,1,928
1221,1,928
1222,334,595
1223,334,595
1224,1,928
1225,1,928
1226,1,928
1227,1,928
1230,2,927
1231,2,927
1233,3,926
1234,3,926
1235,324,605
1236,4,925
1238,2,927
1239,1,928
1240,1,928
1241,325,604
1242,325,604
1243,1,928
1244,1,928
1245,1,928
1246,1,928
1249,2,927
1250,2,927
1252,3,926
1253,3,926
1254,315,614
1255,4,925
1257,2,927
1258,1,928
1259,1,928
1260,316,613
1261,316,613
1262,1,928
1263,1,928
1264,1,928
1265,1,928
1268,2,927
1269,2,927
1271,3,926
1272,27,902
1273,306,623
1274,4,925
1276,2,927
1277,1,928
1278,1,928
1279,307,622
1280,307,622
1281,1,928
1282,1,928
1283,1,928
1284,1,928
1287,2,927
1288,2,927
1290,3,926
1291,3,926
1292,297,632
1293,4,925
1295,2,927
1296,1,928
1297,1,928
1298,298,631
1299,298,631
1300,1,928
1301,1,928
1302,1,928
1303,1,928
1306,2,927
1307,2,927
1309,3,926
1310,3,926
1311,288,641
1312,4,925
1314,2,927
1315,1,928
1316,1,928
1317,289,640
1318,289,640
1319,1,928
1320,1,928
1321,1,928
1322,1,928
1325,2,927
1326,2,927
1328,3,926
1329,3,926
1330,279,650
1331,4,925
1333,2,927
1334,1,928
1335,1,928
1336,280,649
1337,280,649
1338,1,928
1339,1,928
1340,1,928
1341,1,928
1344,2,927
1345,2,927
1347,3,926
1348,3,926
1349,270,659
1350,4,925
1352,2,927
1353,1,928
1354,1,928
1355,271,658
1356,271,658
1357,1,928
1358,1,928
1359,1,928
1360,1,928
1363,2,927
1364,264,665
1365,56,873
1366,2,927
1368,3,926
1369,3,926
1370,259,670
1371,4,925
1373,2,927
1374,1,928
1375,1,928
1376,260,669
1377,260,669
1378,1,928
1379,1,928
1380,1,928
1381,1,928
1384,2,927
1385,57,872
1386,39,890
1387,9,920
1388,2,927
1389,252,677
1390,2,927
1392,3,926
1393,4,925
1394,247,682
1395,4,925
1397,2,927
1398,1,928
1399,1,928
1400,248,681
1401,248,681
1402,1,928
1403,1,928
1404,1,928
1405,1,928
1408,2,927
1409,2,927
1411,3,926
1412,3,926
1413,238,691
1414,4,925
1416,2,927
1417,1,928
1418,1,928
1419,239,690
1420,239,690
1421,1,928
1422,1,928
1423,1,928
1424,1,928
1427,2,927
1428,2,927
1430,3,926
1431,15,914
1432,229,700
1433,4,925
1435,2,927
1436,1,928
1437,1,928
1438,230,699
1439,230,699
1440,1,928
1441,1,928
1442,1,928
1443,1,928
1446,2,927
1447,2,927
1449,3,926
1450,3,926
1451,220,709
1452,4,925
1454,2,927
1455,1,928
1456,1,928
1457,221,708
1458,221,708
1459,1,928
1460,1,928
1461,1,928
1462,1,928
1465,2,927
1466,2,927
1468,3,926
1469,3,926
1470,211,718
1471,4,925
1473,2,927
1474,1,928
1475,1,928
1476,212,717
1477,212,717
1478,1,928
1479,1,928
1480,1,928
1481,1,928
1484,2,927
1485,2,927
1487,3,926
1488,3,926
1489,202,727
1490,4,925
1492,2,927
1493,1,928
1494,1,928
1495,203,726
1496,203,726
1497,1,928
1498,1,928
1499,1,928
1500,1,928
1503,2,927
1504,2,927
1505,38,891
1506,27,902
1507,3,926
1508,2,927
1509,193,736
1510,2,927
1512,3,926
1513,4,925
1514,188,741
1515,4,925
1517,2,927
1518,1,928
1519,1,928
1520,189,740
1521,189,740
1522,1,928
1523,1,928
1524,1,928
1525,1,928
1528,2,927
1529,2,927
1531,3,926
1532,9,920
1533,179,750
1534,4,925
1536,2,927
1537,1,928
1538,1,928
1539,180,749
1540,180,749
1541,1,928
1542,1,928
1543,1,928
1544,1,928
1547,2,927
1548,2,927
1550,3,926
1551,4,925
1552,169,760
1553,4,925
1555,2,927
1556,1,928
1557,1,928
1558,170,759
1559,170,759
1560,1,928
1561,1,928
1562,1,928
1563,1,928
1566,2,927
1567,2,927
1569,3,926
1570,9,920
1571,160,769
1572,4,925
1574,2,927
1575,1,928
1576,1,928
1577,161,768
1578,161,768
1579,1,928
1580,1,928
1581,1,928
1582,1,928
1585,2,927
1586,8,921
1587,2,927
1588,19,910
1589,2,927
1591,3,926
1592,29,900
1593,149,780
1594,4,925
1596,2,927
1597,1,928
1598,1,928
1599,150,779
1600,150,779
1601,1,928
1602,1,928
1603,1,928
1604,1,928
1607,2,927
1608,2,927
1610,3,926
1611,3,926
1612,140,789
1613,4,925
1615,2,927
1616,1,928
1617,1,928
1618,141,788
1619,141,788
1620,1,928
1621,1,928
1622,1,928
1623,1,928
1626,2,927
1627,2,927
1629,3,926
1630,4,925
1631,130,799
1632,4,925
1634,2,927
1635,1,928
1636,1,928
1637,131,798
1638,131,798
1639,1,928
1640,1,928
1641,1,928
1642,1,928
1645,2,927
1646,2,927
1648,3,926
1649,9,920
1650,121,808
1651,4,925
1653,2,927
1654,1,928
1655,1,928
1656,122,807
1657,122,807
1658,1,928
1659,1,928
1660,1,928
1661,1,928
1664,2,927
1665,8,921
1666,2,927
1667,6,923
1668,113,816
1669,54,875
1670,2,927
1672,3,926
1673,3,926
1674,108,821
1675,4,925
1677,2,927
1678,1,928
1679,1,928
1680,109,820
1681,109,820
1682,1,928
1683,1,928
1684,1,928
1685,1,928
1688,2,927
1689,55,874
1690,35,894
1691,9,920
1692,2,927
1693,101,828
1694,2,927
1696,3,926
1697,4,925
1698,96,833
1699,4,925
1701,2,927
1702,1,928
1703,1,928
1704,97,832
1705,97,832
1706,1,928
1707,1,928
1708,1,928
1709,1,928
1712,2,927
1713,2,927
1715,3,926
1716,9,920
1717,87,842
1718,4,925
1720,2,927
1721,1,928
1722,1,928
1723,88,841
1724,88,841
1725,1,928
1726,1,928
1727,1,928
1728,1,928
1731,2,927
1732,2,927
1734,3,926
1735,4,925
1736,77,852
1737,4,925
1739,2,927
1740,1,928
1741,1,928
1742,78,851
1743,78,851
1744,1,928
1745,1,928
1746,1,928
1747,1,928
1750,2,927
1751,2,927
1753,3,926
1754,9,920
1755,68,861
1756,4,925
1758,2,927
1759,1,928
1760,1,928
1761,69,860
1762,69,860
1763,1,928
1764,1,928
1765,1,928
1766,1,928
1769,2,927
1770,8,921
1771,2,927
1772,19,910
1773,2,927
